Modelo,Accuracy,F1-score,Precision,Recall,CV_Score
GradientBoosting,0.8070175438596491,0.5217391304347826,0.6,0.46153846153846156,0.7885225885225884
LightGBM,0.7631578947368421,0.4,0.47368421052631576,0.34615384615384615,0.7775091575091575
LogisticRegression,0.7807017543859649,0.3902439024390244,0.5333333333333333,0.3076923076923077,0.7973870573870574
RandomForest,0.7631578947368421,0.37209302325581395,0.47058823529411764,0.3076923076923077,0.8105982905982906
XGBoost,0.7192982456140351,0.3333333333333333,0.36363636363636365,0.3076923076923077,0.7753601953601953
